mutant-id|timeToExecute|0-sha1 node|1-sha1 browser|2-v5|3-uuids with current time|4-uuids with time option|5-msec|6-exception thrown when > 10k ids created in 1ms|7-clock regression by msec|8-clock regression by nsec|9-explicit options product expected id|10-ids spanning 1ms boundary are 100ns apart
MUTANT 270|1337ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 272|1470ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 271|1572ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 273|1408ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 274|1508ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 275|1444ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 276|1427ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 277|1478ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 278|1328ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 279|1359ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 280|1371ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 281|1488ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 282|1400ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 283|1504ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 284|1435ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 285|1424ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 286|1410ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 288|1395ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 287|1520ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 289|1366ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 290|1380ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 291|1367ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 292|1366ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 293|1321ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 294|1382ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 295|1393ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 296|1364ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 297|1385ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 298|1311ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 299|1367ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 300|1344ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 301|1351ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 302|1423ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 304|1316ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 303|1401ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 305|1371ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 306|1433ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 307|1307ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 308|1320ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 309|1349ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 310|1508ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 311|1490ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 312|1491ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 313|1537ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 314|1408ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 315|1385ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 316|1372ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 317|1432ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 318|1456ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 319|1397ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 320|1411ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 321|1375ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 322|1501ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 323|1425ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 324|1449ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 325|1390ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 326|1449ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 327|1392ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 328|1515ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 329|1371ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 331|1350ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 330|1457ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 332|1448ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 333|1447ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 335|1370ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 334|1422ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 336|1409ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 337|1425ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 338|1434ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 339|1678ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 340|1442ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 341|1416ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 342|1469ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 344|1357ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 343|1452ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 345|1352ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 346|1500ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 347|1393ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 348|1426ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 349|1452ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 350|1446ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 351|1360ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 352|1449ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 353|1413ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 354|1419ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 355|1422ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 356|1444ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 357|1729ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 359|1409ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 358|1467ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 360|1451ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 361|1456ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 362|1387ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 363|1473ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 364|1415ms|1|0|0|1|1|1|1|1|1|1|1
