mutant-id|timeToExecute|0-passes a basic sanity check|1-allows namespaces to be a non-string value|2-honors global debug namespace enable calls|3-uses custom log function|4-should extend namespace|5-should extend namespace with custom delimiter|6-should extend namespace with empty delimiter
MUTANT 421|1345ms|1|1|1|1|1|1|1
MUTANT 422|1443ms|1|1|1|1|1|1|1
MUTANT 423|1398ms|1|1|1|1|1|1|1
MUTANT 424|1522ms|1|1|1|1|1|1|1
MUTANT 425|1599ms|1|1|1|1|1|1|1
MUTANT 426|1641ms|1|1|1|1|1|1|1
MUTANT 427|1647ms|1|1|1|1|1|1|1
MUTANT 428|2051ms|1|1|1|1|1|1|1
MUTANT 429|1998ms|1|1|1|1|1|1|1
MUTANT 430|2302ms|1|1|1|1|1|1|1
MUTANT 431|2082ms|1|1|1|1|1|1|1
MUTANT 432|2192ms|1|1|1|1|1|1|1
MUTANT 433|2331ms|1|1|1|1|1|1|1
MUTANT 434|2020ms|1|1|1|1|1|1|1
MUTANT 435|1990ms|1|1|1|1|1|1|1
MUTANT 436|1973ms|1|1|1|1|1|1|1
MUTANT 437|2044ms|1|1|1|1|1|1|1
MUTANT 439|1843ms|1|1|1|1|1|1|1
MUTANT 438|1890ms|1|1|1|1|1|1|1
MUTANT 440|2728ms|1|1|1|1|1|1|1
MUTANT 441|2536ms|1|1|1|1|1|1|1
MUTANT 442|2500ms|1|1|1|1|1|1|1
MUTANT 443|2714ms|1|1|1|1|1|1|1
MUTANT 444|2461ms|1|1|1|1|1|1|1
MUTANT 445|2394ms|1|1|1|1|1|1|1
MUTANT 446|2429ms|1|1|1|1|1|1|1
MUTANT 447|2416ms|1|1|1|1|1|1|1
MUTANT 448|1926ms|1|1|1|1|1|1|1
MUTANT 449|1978ms|1|1|1|1|1|1|1
MUTANT 450|1946ms|1|1|1|1|1|1|1
MUTANT 451|1995ms|1|1|1|1|1|1|1
MUTANT 452|2146ms|1|1|1|1|1|1|1
MUTANT 453|2080ms|1|1|1|1|1|1|1
MUTANT 454|2284ms|1|1|1|1|1|1|1
MUTANT 455|2220ms|1|1|1|1|1|1|1
MUTANT 456|1668ms|1|1|1|1|1|1|1
MUTANT 457|1669ms|1|1|1|1|1|1|1
MUTANT 458|1605ms|1|1|1|1|1|1|1
MUTANT 460|1742ms|1|1|1|1|1|1|1
MUTANT 462|1754ms|1|1|1|1|1|1|1
MUTANT 459|1802ms|1|1|1|1|1|1|1
MUTANT 461|1802ms|1|1|1|1|1|1|1
MUTANT 464|2066ms|1|1|0|1|1|1|1
MUTANT 463|2106ms|1|1|0|1|1|1|1
MUTANT 466|2109ms|1|1|1|1|1|1|1
MUTANT 465|2139ms|1|1|1|1|1|1|1
MUTANT 468|1827ms|-2|-2|-2|-2|-2|-2|-2
MUTANT 467|1855ms|1|1|1|1|1|1|1
MUTANT 469|1817ms|0|0|0|0|0|0|0
MUTANT 470|1884ms|0|0|0|0|0|0|0
MUTANT 473|1786ms|1|1|1|1|1|1|1
MUTANT 474|1948ms|1|1|1|1|1|1|1
MUTANT 476|2139ms|1|0|0|1|1|1|1
MUTANT 477|1875ms|1|1|1|1|1|1|1
MUTANT 479|1740ms|1|1|1|1|1|1|1
MUTANT 478|1782ms|1|1|0|0|0|0|0
MUTANT 480|1939ms|1|1|1|1|1|1|1
MUTANT 481|1870ms|1|1|1|1|1|1|1
MUTANT 483|1835ms|1|1|1|1|1|1|1
MUTANT 482|1898ms|1|1|1|1|1|1|1
MUTANT 484|2060ms|1|1|1|1|1|1|1
MUTANT 485|2056ms|1|1|1|1|0|0|0
MUTANT 486|2084ms|1|1|1|1|0|0|0
MUTANT 487|2084ms|1|1|1|1|1|1|1
MUTANT 488|1946ms|1|1|1|1|1|1|1
MUTANT 489|1921ms|1|1|0|1|1|1|1
MUTANT 490|1888ms|1|1|0|1|1|1|1
MUTANT 491|1873ms|1|1|1|1|1|1|1
MUTANT 492|1907ms|1|1|1|1|1|1|1
MUTANT 493|1800ms|1|1|1|1|1|1|1
MUTANT 495|1817ms|1|1|1|1|1|1|1
MUTANT 494|1897ms|1|1|1|1|1|1|1
MUTANT 496|2125ms|1|1|1|1|1|1|1
MUTANT 497|2111ms|1|1|1|0|1|1|1
